编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
18,雪绒鸟,鸟仔精灵,冬天诞生的小鸟精灵，常把身体缩成球状减少散热。喜欢用幼嫩的喙啄刚落地的新雪，既是食用也是玩耍。,顺风-若先于敌方攻击，本次技能威力+50%。,翼,342,54,77,33,65,44,69,1,0,,0.38-0.51,2.77-4.5,天空组,雄性 50% / 雌性 50%,冬羽雀进化链,是,是,否
19,冬羽雀,鸟仔精灵,体型又小又圆，眼睛周围生长着一层柔软绒毛。羽绒非常厚，为了抵御寒冷的冬夜，常与同伴挤在一起栖息。,顺风-若先于敌方攻击，本次技能威力+50%。,翼,456,72,103,44,86,59,92,2,5,,0.62-0.71,8.92-12.7,天空组,雄性 50% / 雌性 50%,冬羽雀进化链,是,是,否
20,岚鸟,长羽精灵,眼神锐利，有着绅士般冷静而又端庄的非凡气质，让它在贵族当中颇有人气。胸腹绒羽形成稳定的隔热层，能在强风中维持体温，拥有较强的耐力。,顺风-若先于敌方攻击，本次技能威力+50%。,翼,570,90,128,55,108,74,115,3,30,,1.43-2.04,27.08-32.7,天空组,雄性 50% / 雌性 50%,冬羽雀进化链,是,是,否
21,小灵菇,菇精灵,可能在任何潮湿的阴冷角落出现，看到蓝色荧光不要贸然接近。吸食其他生物的情绪作为养分，吃饱后会发出轻轻的叹气声。,毒蘑菇-回合结束时，偷取敌方场上所有精灵1能量。,幽,374,67,59,59,62,82,45,1,0,,0.43-0.61,5.4-7.1,植物组-魔力组,雄性 50% / 雌性 50%,小灵菇进化链,否,否,否
22,幻灵菇,菇精灵,头顶的触角比隐藏在伞盖下的面目更能够表达出心情，悄无声息地飘来飘去，通常出现在后半夜。在森林深处大量聚集，散发着淡淡荧光，会吸收周围植物和小型动物的情绪。,毒蘑菇-回合结束时，偷取敌方场上所有精灵1能量。,幽-草,499,89,79,79,83,109,60,2,20,,0.64-0.92,13.2-16.5,植物组-魔力组,雄性 50% / 雌性 50%,小灵菇进化链,否,否,否
23,幻影灵菇,菇精灵,仅仅看到它触角上闪烁的荧光就会头痛难耐，对其研究很难有进展。没有生命迹象但是可以自如活动，无法判定是植物还是动物，唯独颈间圆环中似乎蕴含强大生命力。,毒蘑菇-回合结束时，偷取敌方场上所有精灵1能量。,幽-草,621,111,98,98,103,136,75,3,32,,0.92-1.32,39.4-48.4,植物组-魔力组,雄性 50% / 雌性 50%,小灵菇进化链,否,否,否
24,石肤蜥,蜥蜴精灵,常在半山腰处被发现，独立生活，会收集细小的石头筑巢。背上的石头是体内生长出来的一种分泌物，喜欢钻到石头堆里蹭背，可以把背上的石头打磨得更锋利。,刺肤-每受到1次攻击伤害，对攻击自己的精灵造成50威力物理伤害。,地,369,69,61,60,72,50,57,1,0,,0.49-0.7,21.0-34.0,两栖组-大地组,雄性 50% / 雌性 50%,石肤蜥进化链,是,否,否
25,石刺蜥,蜥蜴精灵,背上的石头似乎会与身上的棘刺融为一体，成为自己的武器。石头会周期性脱落，脱落下来的石头苍白易碎，捏一下就会粉碎成细砂状。,刺肤-每受到1次攻击伤害，对攻击自己的精灵造成50威力物理伤害。,地,492,92,81,80,96,67,76,2,32,,0.67-0.96,59.5-70.5,两栖组-大地组,雄性 50% / 雌性 50%,石肤蜥进化链,是,否,否
26,石冠王蜥,蜥蜴精灵,普遍性情暴躁，攻击性强，会发射岩石来划清自己的地盘。它背上石头与身体融合的原理至今仍是研究协会重要的研究课题。,刺肤-每受到1次攻击伤害，对攻击自己的精灵造成50威力物理伤害。,地,615,115,101,100,120,84,95,3,48,,0.94-1.18,78.5-98.5,两栖组-大地组,雄性 50% / 雌性 50%,石肤蜥进化链,是,否,否
27,布是石,石头精灵,如果感觉岩石的缝隙中有目光注视着你，那很可能就是布是石。身体非常坚硬，喜欢成群结队地从斜坡上滚下来，也许只有它们能感受这种快乐吧。,地脉-初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,地,409,72,81,29,95,90,42,1,0,,0.42-0.6,18.5-32.5,大地组-巨灵组,雄性 50% / 雌性 50%,布是石进化链,否,是,否
28,布是岩,石头精灵,脑袋部分的坚硬度接近基岩，普通的岩石对它来说就像泥土一样柔软。它的头好像完全感觉不到疼，受到击打很久之后才能明白刚才发生了什么。,地脉-初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,地,546,96,108,39,127,120,56,2,16,,0.93-1.34,97.5-115.0,大地组-巨灵组,雄性 50% / 雌性 50%,布是石进化链,否,是,否
29,布克棱岩,石头精灵,颇具威慑力的精灵，身形巨大，不经常远离驻地。看上去很重，但其实身体的主要重量都集中在头和手上的岩石部分。,地脉-初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,地,683,120,135,49,159,150,70,3,32,,1.75-2.5,287.0-315.0,大地组-巨灵组,雄性 50% / 雌性 50%,布是石进化链,否,是,否
30,恶魔叮,捣蛋鬼精灵,身体里似乎装满了坏心思，很轻松就能从试图抓住它的洛克手中挣脱。会三五成群地从洛克手上抢走东西，把东西丢下之后嘻嘻哈哈地飞走。如果惹怒它们的话，会气呼呼地撞向洛克。,渴求-入场时获得50%吸血。,恶-翼,452,90,100,42,80,56,84,1,0,,0.39-0.56,3.6-5.2,妖精组,雄性 50% / 雌性 50%,恶魔叮进化链,否,是,是
31,叮叮恶魔,恶作剧精灵,一直在思考如何恶作剧，还会每天进行吓人的练习。总是歪嘴笑着，一副玩世不恭的样子，其实非常害怕失去别人的注意力。非常重视诺言，会坚定地完成自己的约定。,渴求-入场时获得50%吸血。,恶-翼,576,117,125,53,103,73,105,2,40,,0.78-1.12,25.0-34.0,妖精组,雄性 50% / 雌性 50%,恶魔叮进化链,否,是,是
32,毛毛,虫仔精灵,喜欢藏在地下，靠形似耳朵的触角感知周围环境。几乎观察不到它们进食行为，吃很少的东西就能存活很久。,化茧-受到致命伤害时，获得1层萌化，并免疫此次伤害。（最多触发2次）,虫-萌,228,32,28,28,40,40,60,1,0,,0.31-0.45,3.0-4.5,昆虫组-软体组,雄性 50% / 雌性 50%,毛毛进化链,是,否,否
33,爬爬,虫仔精灵,外壳硬化，缩腹在各种物体的表面爬行。背面艳丽的斑点看似有毒，实际上是鳞翅根。,化茧-受到致命伤害时，获得1层萌化，并免疫此次伤害。（最多触发2次）,虫-萌,302,42,37,37,53,53,80,2,20,,0.35-0.51,5.5-8.4,昆虫组-软体组,雄性 50% / 雌性 50%,毛毛进化链,是,否,否
34,化蝶,蝶精灵,极其聪慧的种族，大脑占去整个身体的三分之二。翅膀有力，充满魔力的鳞粉形成了翅膀上的花纹，用以迷惑其他精灵。,化茧-受到致命伤害时，获得1层萌化，并免疫此次伤害。（最多触发2次）,虫-萌,377,53,46,46,66,66,100,3,35,,0.76-1.08,15.6-17.8,昆虫组-软体组,雄性 50% / 雌性 50%,毛毛进化链,是,否,否
35,幽影树,树精灵,左手和右手似乎有各自的想法，在黑暗中看起来就像三只精灵。虽然伪装拙劣到谁都能看穿的程度，但依旧喜欢伪装成普通树木的样子，跟在洛克身后，但是对洛克并没有恶意。,小偷小摸-入场时偷取敌方场上所有精灵2能量。,幽-草,571,111,96,96,65,123,80,1,0,,0.64-0.92,29.5-37.5,植物组-妖精组,雄性 50% / 雌性 50%,幽影树进化链,否,是,是
36,小鼠獭,啃啃精灵,总是在啃着什么，包括自己的手和尾巴。扒开小鼠獭的嘴巴仔细观察也找不到牙，牙床嫩嫩的，还没有牙的痕迹。,保守派-总技能能耗小于4时，自己获得双防+80%。,普通-水,355,73,57,57,60,60,48,1,0,,0.37-0.53,6.7-7.5,动物组-两栖组,雄性 50% / 雌性 50%,小鼠獭进化链,否,否,否
37,燕尾獭,啃啃精灵,牙齿锋利，非常喜欢啃一些坚硬的木头。手掌心非常坚硬粗糙，常看到它们用手在脸上搓来搓去，并不是在洗脸，而是在用掌心磨牙齿。,保守派-总技能能耗小于4时，自己获得双防+80%。,普通-水,477,97,77,77,81,81,64,2,30,,0.61-0.88,28.6-31.5,动物组-两栖组,雄性 50% / 雌性 50%,小鼠獭进化链,否,否,否
38,卷胡巨獭,优雅精灵,对外表有很高的追求，除了磨牙的习惯之外，体内分泌的油脂会被用来保养胡须。蓬松的胡须和锋利的牙齿代表其在族群中的地位，部分獭会去寻找枯草装作假胡子戴着。普遍不喜欢和洛克亲近。,保守派-总技能能耗小于4时，自己获得双防+80%。,普通-水,595,121,96,96,101,101,80,3,48,,0.76-1.08,76.5-90.0,动物组-两栖组,雄性 50% / 雌性 50%,小鼠獭进化链,否,否,否
39,矿晶虫,矿石精灵,喜欢攀附于潮湿的岩层，以土壤中的矿粒为食，常被用作衡量矿产资源丰富度的标志。身上的晶体可以将细小的光线通过折射放大数倍，四只矿晶虫便能照亮一整个矿洞，是备受矿工喜爱的精灵。,偏振-受到自己携带技能系别的攻击伤害-40%。,光-地,466,79,77,81,102,75,52,1,0,,0.54-0.77,5.8-10.53,软体组-大地组,雄性 50% / 雌性 50%,矿晶虫进化链,是,是,否
40,晶石蜗,矿石精灵,在资源丰富的矿洞中能遇见的罕见蜗类，周身的矿石与斑纹会因摄入矿物类型的不同，而呈现出不同的色彩。进食时，它会直接吞下成块矿石，并通过特殊的消化结构，将其转化并沉积为自身躯体的一部分。,偏振-受到自己携带技能系别的攻击伤害-40%。,光-地,583,99,96,101,128,94,65,2,40,任选蓝晶碧玺累计交互3次,1.03-1.35,59.1-71.05,软体组-大地组,雄性 50% / 雌性 50%,矿晶虫进化链,是,是,否
41,奇丽草,花苞精灵,头顶着花苞爬着前进，总会朝着太阳光的方向。花苞里面似乎孕育着什么，要是长期照不到太阳，花苞就会萎缩。,养分重吸收-回合结束时，回复3能量。,草,383,67,69,69,73,57,48,1,0,,0.38-0.55,4.1-5.7,植物组,雄性 50% / 雌性 50%,奇丽草进化链,否,是,是
42,奇丽叶,花苞精灵,头顶的花苞十分巨大，花苞成长速度已经超过身体，头部上方是视野盲区，由身体下面五个足状的突起维持平衡。,养分重吸收-回合结束时，回复3能量。,草,511,90,92,92,97,76,64,2,16,,0.62-0.89,24.0-31.0,植物组,雄性 50% / 雌性 50%,奇丽草进化链,否,是,是
43,奇丽花,芳香精灵,巨大的花朵盛开了，花瓣像是一顶遮阳帽，粗大的花蕊像触角一样，花朵很好闻，有类似柑橘的香甜气味，对小型精灵有强烈吸引力。,养分重吸收-回合结束时，回复3能量。,草,638,112,115,115,121,95,80,3,32,,1.11-1.58,42.0-58.0,植物组,雄性 50% / 雌性 50%,奇丽草进化链,否,是,是
44,丢丢,舔舔精灵,有看到什么都会去舔一下试试看的习惯，经常忘记把舌头收回去。双眼对强光非常敏感，白天会老老实实躲在室内或者阴凉的地方。,诈死-自己力竭时，少损失1点魔力。,草,268,44,45,12,49,40,78,1,0,,0.35-0.51,4.3-6.1,两栖组,雄性 50% / 雌性 50%,丢丢进化链,是,否,否
45,卡卡虫,舔舔精灵,用四只吸盘在任何地形快速地移动，静止不动的时候很难分辨。尾巴牢牢抓着植物的茎，没事就会拿下来舔，它的唾液似乎会让果实越变越硬。,诈死-自己力竭时，少损失1点魔力。,草,357,59,60,16,65,53,104,2,16,,0.53-0.76,18.5-21.6,两栖组,雄性 50% / 雌性 50%,丢丢进化链,是,否,否
46,卡瓦重,蜥蜴精灵,手里拿的是生长着果实的枝条，既是武器也是乐器，需要时还能解解嘴馋。战斗像舞蹈一样，用细长灵活的舌头和尾巴表演，让人眼花缭乱。,诈死-自己力竭时，少损失1点魔力。,草,447,74,75,20,81,67,130,3,36,,0.76-1.09,29.0-35.85,两栖组,雄性 50% / 雌性 50%,丢丢进化链,是,否,否
47,护主犬,狗狗精灵,时刻保持着警觉，任何危险都无法逃过它的眼睛。虽然身形小巧，但面对无论多么凶猛庞大的敌人都会勇敢地燃起斗志。,专注力-入场首回合，获得物攻+100%。,火,451,68,103,37,81,66,96,1,0,,0.64-0.92,13.6-17.5,动物组,雄性 80% / 雌性 20%,护主犬进化链,否,是,否
48,音速犬,守护精灵,昂起斗志时，冠毛和尾巴会像熊熊燃烧的火焰一样摇曳。身上的围巾蕴含魔法能量，似乎有增强火元素的效果。,专注力-入场首回合，获得物攻+100%。,火,562,85,128,46,101,82,120,2,26,,1.13-1.62,39.5-51.5,动物组,雄性 80% / 雌性 20%,护主犬进化链,否,是,否
49,绿耳松鼠,松鼠精灵,能靠有力的尾巴弹跳，如果摔倒了，要花一阵子才能重新靠尾巴站立，有研究猜测它们足部功能有所退化，尾部功能非常发达，部分取代了双脚的作用。,囤积-每有1能量，获得双防+10%。,普通,333,69,50,47,67,52,48,1,0,,0.47-0.68,3.5-6.0,动物组,雄性 50% / 雌性 50%,绿耳松鼠进化链,否,否,否
50,抱枕松鼠,圆滚滚精灵,骑着自己的尾巴，已经不需要靠双脚走路。偶尔把头埋进身体，看上去像一颗巨大的果实。,囤积-每有1能量，获得双防+10%。,普通,445,92,67,63,89,70,64,2,32,,0.6-0.84,21.05-27.08,动物组,雄性 50% / 雌性 50%,绿耳松鼠进化链,否,否,否
51,蹦床松鼠,圆滚滚精灵,尾巴的力量非常强，巨大的尾部并不是蓬松的，内部有着强健的肌肉，实心并且富有弹性。可以用尾巴把自己弹射到三层楼那么高的地方。,囤积-每有1能量，获得双防+10%。,普通,555,114,84,79,111,87,80,3,46,,0.78-1.12,47.5-68.4,动物组,雄性 50% / 雌性 50%,绿耳松鼠进化链,否,否,否
52,嘟嘟煲,锅精灵,体内的粘液有毒性，总是黏糊糊的，一旦沾上很难洗掉，粘液的沸点十分低，常处于沸腾状态。,复方汤剂-在场时，双方回合结束时的中毒效果会额外触发1次。,毒,459,110,29,82,71,83,84,1,0,,0.65-0.8,48.5-56.0,妖精组-大地组,雄性 50% / 雌性 50%,嘟嘟煲进化链,否,否,是
53,嘟嘟锅,锅精灵,一直在咕嘟咕嘟，分不清是因为沸腾导致，还是在喋喋不休。似乎有意四处散播谣言，说自己是炼金教室里大炼金锅的嫡系子嗣，研究人员在进行研究观测的时候每天要听五十遍它们讲的辉煌家史。,复方汤剂-在场时，双方回合结束时的中毒效果会额外触发1次。,毒,573,137,36,102,89,104,105,2,38,,0.64-0.91,67.9-89.2,妖精组-大地组,雄性 50% / 雌性 50%,嘟嘟煲进化链,否,否,是
54,小灵面,轻飘飘精灵,面具似乎可以摘下，进食的时候会避开所有生物。一层闪着荧光的神秘物质覆盖着身体，内部可能是液体。,惊吓-能量等于0的精灵，无法对自己造成伤害。,幽,366,55,30,72,59,81,69,1,0,,0.38-0.55,0.1-0.55,魔力组,雄性 50% / 雌性 50%,小灵面进化链,是,否,否
55,暗影灵面,假面精灵,被两团冷火环绕着，从头到脚都充满了谜团。进食之后重量也毫不增加，被它面具下的嘴吞下的食物仿佛消失了一样。,惊吓-能量等于0的精灵，无法对自己造成伤害。,幽,488,74,40,96,78,108,92,2,20,18点至次日6点期间,0.75-0.86,0.12-1.16,魔力组,雄性 50% / 雌性 50%,小灵面进化链,是,否,否
56,幽冥眼,假面精灵,传说幽冥眼一族在生命终结的时候能窥见生命与宇宙的奥秘。对灵魂与星辰抱有极其虔诚的信仰，面具上刻着的眼睛形状图腾似乎象征着种族的信仰。,惊吓-能量等于0的精灵，无法对自己造成伤害。,幽,610,92,50,120,98,135,115,3,32,时间段18点~次日6点,1.55-1.65,1.5-2.86,魔力组,雄性 50% / 雌性 50%,小灵面进化链,是,否,否
57,梦游,睡衣精灵,不吃不喝，大部分时间都在睡觉的奇怪生物，常呆在旧衣服堆里。喜欢群居生活，如果太长时间没有感受到其他生物的活动痕迹，会变得非常怨恨和暴躁。,做噩梦-敌方精灵离场后，更换入场的精灵失去3能量。,幽,493,90,52,125,60,74,92,1,0,,0.5-0.6,0.6-1.87,魔力组-妖精组,雄性 50% / 雌性 50%,梦游进化链,是,否,否
58,梦悠悠,睡衣精灵,被遗忘的旧睡衣，因为孤单和思念而死，死后变成了幽灵。明明是毛绒绒的，但是体表温度极低，摸起来很凉，即使一直抱着它，它也很难变暖。,做噩梦-敌方精灵离场后，更换入场的精灵失去3能量。,幽,618,113,65,157,75,93,115,2,32,,1.0-1.2,1.25-3.1,魔力组-妖精组,雄性 50% / 雌性 50%,梦游进化链,是,否,否
59,兽花蕾,小花种精灵,稀兽花种的幼年形态，非常轻，会随风而动，身后有像翅膀一样的苞片，苞片上有特殊的薄膜，可以起到防风防水的效果，保护它们健康成长。,稀兽花宝-根据自己的血脉，入场时获得不同效果。,光-草,513,70,79,82,70,97,115,1,0,,0.38-0.45,4.25-6.5,植物组,雄性 50% / 雌性 50%,兽花蕾进化链,否,否,否
60,伏地兽,食蚁兽精灵,柔韧的吻部十分有弹性，没有牙齿，用舌头和吻部配合嘬取食物。每天吃几十只蚂蚁就可以存活，能量消耗很小，多数时间在睡觉。,壮胆-队伍存在虫系精灵，自己获得双攻+50%。,普通,338,95,56,25,70,41,51,1,0,,0.52-0.74,12.4-15.8,动物组,雄性 50% / 雌性 50%,伏地兽进化链,否,否,否
61,贪食鼹,食蚁兽精灵,吻部变得坚硬，形状如同吸管，舌头又长又黏。没有嗅觉器官，通过舌头来感知气味，经常舔舐各种味道刺激的东西。,壮胆-队伍存在虫系精灵，自己获得双攻+50%。,普通,449,126,74,33,94,54,68,2,20,累计击败3只虫系精灵,0.84-1.21,21.6-35.84,动物组,雄性 50% / 雌性 50%,伏地兽进化链,否,否,否
62,巨噬针鼹,食蚁兽精灵,体表坚硬的鬃毛能够防御风吹日晒和敌人的攻击。长舌灵活而柔韧，能够绊倒猎物或者缠绕颈部使其窒息，吻部如同长矛一般刺穿猎物的要害，甚至可以击穿岩石。,壮胆-队伍存在虫系精灵，自己获得双攻+50%。,普通,562,158,93,41,117,68,85,3,32,,1.52-1.79,87.3-105.0,动物组,雄性 50% / 雌性 50%,伏地兽进化链,否,否,否
63,蹦蹦种子,多肉精灵,总是蹦蹦跳跳的，会用滚动的方式攻击。对温度和湿度都很敏感，但就算冷得发抖也不抱团取暖。,生物碱-使用草系技能时，敌方获得2层中毒。,草-毒,348,60,64,66,44,63,51,1,0,,0.46-0.67,4.3-5.6,植物组,雄性 50% / 雌性 50%,蹦蹦种子进化链,是,是,否
64,蹦蹦草,刺刺精灵,挥舞着长满刺的双手跳来跳去，要小心地接近。在太阳光下变得格外兴奋，情绪波动时头顶的花苞有可能突然绽放。,生物碱-使用草系技能时，敌方获得2层中毒。,草-毒,464,80,85,88,59,84,68,2,16,,0.59-0.85,34.3-42.9,植物组,雄性 50% / 雌性 50%,蹦蹦种子进化链,是,是,否
65,蹦蹦花,花精灵,休息的时候会把脚插入地下一动不动，但似乎随时能够进入战斗状态。头上的花不允许任何人触碰，那似乎是它生命力量的来源。,生物碱-使用草系技能时，敌方获得2层中毒。,草-毒,580,100,107,110,73,105,85,3,32,,1.33-1.9,75.0-86.0,植物组,雄性 50% / 雌性 50%,蹦蹦种子进化链,是,是,否
66,电咩咩,羊精灵,整个咩咩非常蓬松，每一根蓬松的毛都带电，稍微靠近它就要被静电“哔哩”一下。释放能量之后会进入低电量状态，低电量时会没精打采并吃很多。,快充-离场时回复10能量。,电,332,47,49,49,55,57,75,1,0,,0.58-0.83,7.17-9.1,动物组,雄性 50% / 雌性 50%,电咩咩进化链,否,否,否
67,粉咩咩,羊精灵,经常看到它们聚在一起胡乱放电，放电的时候会跳奇怪的舞蹈，十分开心的样子。如果埋进它们的毛里猛吸一口，被电很惨同时会闻到糊糊的怪味。,快充-离场时回复10能量。,电,443,62,66,66,73,76,100,2,30,,0.8-1.14,15.3-18.6,动物组,雄性 50% / 雌性 50%,电咩咩进化链,否,否,否
68,电球咩咩,爆炸头精灵,头顶的毛团会定期脱落并瞬间萌发出新的一团，当遇到危险的时候，电球咩咩会快速脱落掉头顶毛团，以达到吸引敌人注意力的效果。,快充-离场时回复10能量。,电,553,78,82,82,91,95,125,3,42,,1.13-1.62,48.6-58.0,动物组,雄性 50% / 雌性 50%,电咩咩进化链,否,否,否
69,蒲公英,轻飘飘精灵,喜欢阳光，可爱的圆形精灵，三只一起在草丛中随风飘动。风吹到哪就会飞到哪，总是无忧无虑的。,勇敢-携带的能耗大于3的技能，威力+40%。,草-萌,515,89,99,94,103,78,52,1,0,,0.3-0.5,0.1-0.6,植物组-天空组,雄性 50% / 雌性 50%,蒲公英进化链,否,否,否
70,蒲公英娃娃,圆滚滚精灵,三个可爱的小家伙簇拥着一团轻盈的绒球，绒球的内部构造不得而知。协同发力的话，能够随心所欲地借助风力飞往任何地方。,勇敢-携带的能耗大于3的技能，威力+40%。,草-萌,642,111,123,117,129,97,65,2,26,,0.7-1.0,0.3-1.35,植物组-天空组,雄性 50% / 雌性 50%,蒲公英进化链,否,否,否
71,伊贝儿,毛绒绒精灵,它头顶长着一团蓬松的绿色苔藓，压低身体时能很好地融入草丛，几乎难以分辨。苔藓本身不疏水，一旦沾到水就会迅速吸收并变得沉重，让它行动迟缓甚至走不动，只能停在原地等待自然风干。它的身体像果冻一样具有弹性，可拉伸变形。,腐植循环-每回复1能量，同时回复5%生命。,草,487,94,73,72,88,88,72,1,0,,0.44-0.62,3.3-4.2,植物组-软体组,雄性 50% / 雌性 50%,伊贝儿进化链,否,否,是
